Unnamed: 0,elec,community,ID,Posting ID,community_elec,Title,Body,Text,Dates,Year,Month,Day,Time,Hits cnt,Rec cnt,ner,person,pred_Kc_kmhas,softmax_Kc_kmhas,pred_Ko_kodoli,softmax_Ko_kodoli,pred_Ro_kodoli,softmax_Ro_kodoli,max_sft,max_sft_label,avg_sft,avg_sft_label,ensemble_score
782012,20,FM,20FM526805,4232120470,FM20,이거 예전처럼 말장난이면 이준석도 수습못함,진짜 레알 훅감,이거 예전처럼 말장난이면 이준석도 수습못함 진짜 레알 훅감,2022-01-07,2022,1,7,18:06:00,112,4,"[('이거', 'O'), ('예전', 'O'), ('처럼', 'O'), ('말장난', 'O'), ('이', 'O'), ('면', 'O'), ('이준석', 'B-PER'), ('도', 'O'), ('수습', 'O'), ('못', 'O'), ('함', 'O'), ('진짜', 'O'), ('레알', 'O'), ('훅', 'O'), ('감', 'O')]",['이준석'],0,0.123299999999999,0,0.0385999999999999,0,0.4663,0.4663,0,0.2094,0,0
505220,20,FM,20FM212798,4374886100,FM20,단연컨대 이렇게 나라가 더러웠던 적은 군사정권 이후로 없었다,무슨 말을 하면 처벌받을까 두렵고 자기측에 불리한 수사는 뭉개고 검사가 정의감으로 개기면 시골보내버리고 개복치가 되는거는 다른게 아니고 이게 더 매운맛으로 5년 더 계속되는게 무서워서 그런거야,단연컨대 이렇게 나라가 더러웠던 적은 군사정권 이후로 없었다 무슨 말을 하면 처벌받을까 두렵고 자기측에 불리한 수사는 뭉개고 검사가 정의감으로 개기면 시골보내버리고 개복치가 되는거는 다른게 아니고 이게 더 매운맛으로 5년 더 계속되는게 무서워서 그런거야,2022-02-25,2022,2,25,14:32:00,533,4,"[('단연', 'O'), ('컨대', 'O'), ('이렇게', 'O'), ('나라', 'O'), ('가', 'O'), ('더러웠', 'O'), ('던', 'O'), ('적', 'O'), ('은', 'O'), ('군사', 'B-ORG'), ('정권', 'O'), ('이후', 'O'), ('로', 'O'), ('없', 'O'), ('었', 'O'), ('다', 'O'), ('무슨', 'O'), ('말', 'O'), ('을', 'O'), ('하', 'O'), ('면', 'O'), ('처벌', 'O'), ('받', 'O'), ('을까', 'O'), ('두렵', 'O'), ('고', 'O'), ('자기', 'O'), ('측', 'O'), ('에', 'O'), ('불리', 'O'), ('한', 'O'), ('수사', 'O'), ('는', 'O'), ('뭉개', 'O'), ('고', 'O'), ('검사', 'O'), ('가', 'O'), ('정의감', 'O'), ('으로', 'O'), ('개기', 'O'), ('면', 'O'), ('시골', 'O'), ('보내', 'O'), ('버리', 'O'), ('고', 'O'), ('개복치', 'O'), ('가', 'O'), ('되', 'O'), ('는', 'O'), ('거', 'O'), ('는', 'O'), ('다른', 'O'), ('게', 'O'), ('아니', 'O'), ('고', 'O'), ('이게', 'O'), ('더', 'O'), ('매운', 'O'), ('맛', 'O'), ('으로', 'O'), ('5', 'B-DUR'), ('년', 'I-DUR'), ('더', 'O'), ('계속', 'O'), ('되', 'O'), ('는', 'O'), ('게', 'O'), ('무서워서', 'O'), ('그런', 'O'), ('거', 'O'), ('야', 'O')]",[],0,0.4149,0,0.0389,0,0.1691,0.4149,0,0.2076,0,0
442650,20,FM,20FM150228,4395692592,FM20,투표합시다 5일안에 차에 치일수도 있음,ㅋㅋㅋ,투표합시다 5일안에 차에 치일수도 있음 ㅋㅋㅋ,2022-03-04,2022,3,4,08:42:00,170,10,"[('투표', 'O'), ('합시다', 'O'), ('5', 'B-NOH'), ('일', 'I-NOH'), ('안', 'O'), ('에', 'O'), ('차', 'O'), ('에', 'O'), ('치일', 'O'), ('수', 'O'), ('도', 'O'), ('있', 'O'), ('음', 'O'), ('ㅋㅋㅋ', 'O')]",[],0,0.06,0,0.0269,0,0.0464999999999999,0.06,0,0.0445,0,0
630838,20,FM,20FM338416,4316852496,FM20,킹영세 총리 해야됨 ㄹㅇ,어제 박수영도 진압하고 오늘은 단일화도 진압,킹영세 총리 해야됨 ㄹㅇ 어제 박수영도 진압하고 오늘은 단일화도 진압,2022-02-06,2022,2,6,10:35:00,76,4,"[('킹', 'B-PER'), ('영세', 'O'), ('총리', 'O'), ('해야', 'O'), ('됨', 'O'), ('ㄹ', 'O'), ('ㅇ', 'O'), ('어제', 'O'), ('박수영', 'B-PER'), ('도', 'O'), ('진압', 'O'), ('하', 'O'), ('고', 'O'), ('오늘', 'O'), ('은', 'O'), ('단일', 'O'), ('화', 'O'), ('도', 'O'), ('진압', 'O')]","['킹', '박수영']",0,0.284599999999999,0,0.05,0,0.0302,0.284599999999999,0,0.1216,0,0
535282,20,FM,20FM242860,4363356621,FM20,아니 법카 얘기하니까 딴 얘기하네 시발ㅋㅋ,존나 속보여,아니 법카 얘기하니까 딴 얘기하네 시발ㅋㅋ 존나 속보여,2022-02-21,2022,2,21,21:09:00,196,3,"[('아니', 'O'), ('법', 'O'), ('카', 'O'), ('얘기', 'O'), ('하', 'O'), ('니까', 'O'), ('딴', 'O'), ('얘기', 'O'), ('하', 'O'), ('네', 'O'), ('시발', 'O'), ('ㅋㅋ', 'O'), ('존나', 'O'), ('속', 'O'), ('보여', 'O')]",[],1,0.9814,1,0.7492,1,0.8958,0.9814,1,0.8755,1,3
535291,20,FM,20FM242869,4363356457,FM20,하나둘씩 꺼져가는거 개웃기네 ㅋㅋㅋ,윤카 화이팅,하나둘씩 꺼져가는거 개웃기네 ㅋㅋㅋ 윤카 화이팅,2022-02-21,2022,2,21,21:09:00,107,1,"[('하나', 'B-NOH'), ('둘', 'B-NOH'), ('씩', 'O'), ('꺼져', 'O'), ('가', 'O'), ('는', 'O'), ('거', 'O'), ('개웃', 'O'), ('기', 'O'), ('네', 'O'), ('ㅋㅋㅋ', 'O'), ('윤', 'B-PER'), ('카', 'I-PER'), ('화이팅', 'O')]",['윤카'],0,0.2368,0,0.0278,0,0.1347,0.2368,0,0.1331,0,0
794088,20,FM,20FM538881,4229150194,FM20,봉합하건 말건 오늘부로,"걍 오늘부로 대깨준함 대선은 이제 관심밖이고 절대 윤석열만은 안찍는다 구태의원들 줘패는 준석이 응원한다 청년들 목소리 대신 내어준 한성현,이준석에게 너무 고맙다","봉합하건 말건 오늘부로 걍 오늘부로 대깨준함 대선은 이제 관심밖이고 절대 윤석열만은 안찍는다 구태의원들 줘패는 준석이 응원한다 청년들 목소리 대신 내어준 한성현,이준석에게 너무 고맙다",2022-01-06,2022,1,6,20:01:00,177,2,"[('봉합', 'O'), ('하', 'O'), ('건', 'O'), ('말', 'O'), ('건', 'O'), ('오늘', 'O'), ('부', 'O'), ('로', 'O'), ('걍', 'O'), ('오늘', 'O'), ('부', 'O'), ('로', 'O'), ('대', 'O'), ('깨', 'O'), ('준', 'O'), ('함', 'O'), ('대선', 'O'), ('은', 'O'), ('이제', 'O'), ('관심', 'O'), ('밖', 'O'), ('이', 'O'), ('고', 'O'), ('절대', 'O'), ('윤석열', 'B-PER'), ('만', 'O'), ('은', 'O'), ('안', 'O'), ('찍', 'O'), ('는다', 'O'), ('구태', 'O'), ('의원', 'O'), ('들', 'O'), ('줘패', 'O'), ('는', 'O'), ('준석', 'B-PER'), ('이', 'O'), ('응원', 'O'), ('한다', 'O'), ('청년', 'O'), ('들', 'O'), ('목소리', 'O'), ('대신', 'O'), ('내', 'O'), ('어', 'O'), ('준', 'O'), ('한성현', 'B-PER'), (',', 'O'), ('이준석', 'B-PER'), ('에게', 'O'), ('너무', 'O'), ('고맙', 'O'), ('다', 'O')]","['윤석열', '준석', '한성현', '이준석']",0,0.3614,0,0.3608,0,0.3485,0.3614,0,0.3569,0,0
442213,20,FM,20FM149791,4395775683,FM20,대한민국의 공정과 상식이 달렸다,투표 꼭하자 난 내일 부모님과함께 사전투표 하러 같이간다 제발 투표해줘,대한민국의 공정과 상식이 달렸다 투표 꼭하자 난 내일 부모님과함께 사전투표 하러 같이간다 제발 투표해줘,2022-03-04,2022,3,4,09:38:00,94,3,"[('대한민국', 'B-ORG'), ('의', 'O'), ('공정', 'O'), ('과', 'O'), ('상식', 'O'), ('이', 'O'), ('달렸', 'O'), ('다', 'O'), ('투표', 'O'), ('꼭', 'O'), ('하', 'O'), ('자', 'O'), ('난', 'O'), ('내일', 'O'), ('부모', 'O'), ('님', 'O'), ('과', 'O'), ('함께', 'O'), ('사전', 'O'), ('투표', 'O'), ('하', 'O'), ('러', 'O'), ('같이', 'O'), ('간다', 'O'), ('제발', 'O'), ('투표', 'O'), ('해', 'O'), ('줘', 'O')]",[],0,0.2598,0,0.0372,0,0.0111999999999999,0.2598,0,0.1027,0,0
781476,20,FM,20FM526269,4232190565,FM20,여가부 폐지로 속지마라,토론하면 찢한테 쳐발리고 표갈린다 할 수 있을때까지 ㅎㅂㄱㅊ,여가부 폐지로 속지마라 토론하면 찢한테 쳐발리고 표갈린다 할 수 있을때까지 ㅎㅂㄱㅊ,2022-01-07,2022,1,7,18:32:00,237,4,"[('여', 'O'), ('가', 'O'), ('부', 'O'), ('폐지', 'O'), ('로', 'O'), ('속', 'O'), ('지', 'O'), ('마', 'O'), ('라', 'O'), ('토론', 'O'), ('하', 'O'), ('면', 'O'), ('찢', 'O'), ('한테', 'O'), ('쳐', 'O'), ('발리', 'O'), ('고', 'O'), ('표', 'O'), ('갈린다', 'O'), ('할', 'O'), ('수', 'O'), ('있', 'O'), ('을', 'O'), ('때', 'O'), ('까지', 'O'), ('ㅎ', 'O'), ('ㅂ', 'O'), ('ㄱ', 'O'), ('ㅊ', 'O')]",[],1,0.5451,1,0.8578,1,0.9257,0.9257,1,0.7762,1,3
589624,20,FM,20FM297202,4336526687,FM20,아직도 이어지는 이재명 캠프의 고소 고발,트위터 링크 자동 변환 중,아직도 이어지는 이재명 캠프의 고소 고발 트위터 링크 자동 변환 중,2022-02-13,2022,2,13,00:16:00,213,6,"[('아직', 'O'), ('도', 'O'), ('이어지', 'O'), ('는', 'O'), ('이재명', 'B-PER'), ('캠프', 'O'), ('의', 'O'), ('고소', 'O'), ('고발', 'O'), ('트위터', 'B-POH'), ('링크', 'O'), ('자동', 'O'), ('변환', 'O'), ('중', 'O')]",['이재명'],0,0.0857,0,0.0231,0,0.011,0.0857,0,0.0399,0,0
